B1	KC	B2	B3	TC
1	1	46	301	1
2	1	14	99	1
3	1	11	73	1
4	1	63	170	1
5	1	19	246	1
6	1	57	204	1
7	1	12	187	1
8	1	75	334	1
9	1	28	49	1
10	1	49	70	1
11	1	57	109	1
12	1	47	17	1
13	1	34	321	1
14	1	31	129	1
15	1	76	133	1
16	1	32	174	1
17	2	52	96	2
18	1	62	343	2
19	2	14	49	2
20	2	75	296	2
21	1	58	186	2
22	2	61	213	2
23	2	13	294	2
24	1	19	96	2
25	2	56	198	2
26	2	38	249	2
27	2	29	349	2
28	2	31	141	2
29	2	17	194	2
30	2	69	242	2
31	1	55	159	2
32	2	57	75	2
33	2	22	147	2
34	1	59	6	2
35	2	19	79	2
36	2	30	129	2
37	2	39	213	2
38	1	16	214	2
39	2	37	154	2
40	2	55	74	2
